1.wav|THE SUN IS SHINING BRIGHTLY TODAY
2.wav|I LOVE LISTENING TO MUSIC
3.wav|PLEASE CLOSE THE DOOR BEHIND YOU
4.wav|THE COFFEE IS TOO HOT TO DRINK
5.wav|WE WILL MEET AT THE PARK
6.wav|MY FAVORITE COLOR IS BLUE
7.wav|THE BOOK IS ON THE TABLE
8.wav|SHE ENJOYS PLAYING THE PIANO
9.wav|THE SKY IS FILLED WITH STARS
10.wav|HE WORKS IN A BIG OFFICE
11.wav|THERE ARE SEVEN DAYS IN A WEEK
12.wav|MY PHONE NUMBER IS FIVE FIVE FIVE EIGHT NINE SEVEN SIX
13.wav|THE TRAIN DEPARTS AT SIX THIRTY
14.wav|TODAY IS MARCH FIFTEENTH
15.wav|THE MEETING WILL LAST FOR TWO HOURS
16.wav|MY BIRTHDAY IS ON JULY FOURTH
17.wav|THE STORE CLOSES AT NINE PM
18.wav|I WAS BORN IN THE YEAR NINETEEN NINETY EIGHT
19.wav|THE RECIPE CALLS FOR THREE EGGS
20.wav|THE BUS ARRIVES EVERY FIFTEEN MINUTES
21.wav|HOW ARE YOU DOING TODAY
22.wav|NICE TO MEET YOU
23.wav|COULD YOU PLEASE REPEAT THAT
24.wav|HAVE A GREAT DAY
25.wav|WHAT IS YOUR FAVORITE HOBBY
26.wav|I WOULD LIKE A CUP OF COFFEE
27.wav|DO YOU SPEAK ANY OTHER LANGUAGES
28.wav|THANK YOU FOR YOUR HELP
29.wav|WHAT DO YOU DO FOR A LIVING
30.wav|THAT SOUNDS LIKE A GREAT IDEA
31.wav|THE WIND IS BLOWING VERY HARD
32.wav|IT WILL RAIN LATER IN THE EVENING
33.wav|THE LEAVES TURN RED IN AUTUMN
34.wav|THE RIVER FLOWS THROUGH THE VALLEY
35.wav|THE OCEAN WAVES ARE STRONG TODAY
36.wav|A THUNDERSTORM IS APPROACHING
37.wav|THE MOUNTAINS ARE COVERED IN SNOW
38.wav|THE SUN SETS IN THE WEST
39.wav|BIRDS ARE CHIRPING IN THE MORNING
40.wav|THE FOREST IS HOME TO MANY ANIMALS
41.wav|I LOVE EATING HOMEMADE PIZZA
42.wav|THIS SOUP NEEDS MORE SALT
43.wav|THE BREAD IS FRESH FROM THE OVEN
